YEAR,Precipitation Anomaly,Trend
1900,-0.87,
1901,-9.51,
1902,-6.25,
1903,-0.97,
1904,-7.36,
1905,-10.69,-7.45
1906,-6.84,-8.2
1907,-10.01,-8.23
1908,-6.93,-8.42
1909,-7.29,-9.79
1910,-15.38,-10.56
1911,-9.15,-10.31
1912,-9.9,-10.75
1913,-8.24,-10.87
1914,-16.03,-11.4
1915,-15.88,-11.88
1916,-8.05,-10.91
1917,-11.62,-11.7
1918,-11.33,-12.25
1919,-12.68,-12.83
1920,-12.56,-12.2
1921,-4.75,-11.82
1922,-17.94,-11.58
1923,-15.79,-12.2
1924,-14.63,-12.64
1925,-9.13,-12.55
1926,-11.68,-12.76
1927,-5.43,-12.34
1928,-18.47,-10.61
1929,-16.15,-10.03
1930,-11.65,-9.51
1931,-14.88,-9.57
1932,-0.07,-9.28
1933,1.03,-9.68
1934,-9.45,-8.21
1935,-8.87,-7.85
1936,-9.7,-6.97
1937,-8.52,-5.87
1938,-9.76,-6.95
1939,-2.25,-7.89
1940,-12.16,-7.66
1941,-2.11,-7.59
1942,-2.81,-7.08
1943,-12.05,-7.54
1944,-9.26,-7.13
1945,-6.92,-7.32
1946,-8.14,-6.57
1947,-4.19,-7.06
1948,-10.4,-6.91
1949,-10.77,-5.61
1950,-10.14,-5.1
1951,-8.97,-5.13
1952,-9.38,-5
1953,-6.72,-5.19
1954,-9.38,-3.93
1955,-10.59,-4.21
1956,-12.2,-4.81
1957,-10.92,-4.67
1958,-10.53,-4.3
1959,-4.04,-3.68
1960,-5.77,-3.63
1961,-9.01,-3.03
1962,-4.14,-2.92
1963,-2.25,-2.21
1964,-1.02,-1.71
1965,-5.05,-1.89
1966,-2.31,-0.7
1967,-3.34,0.27
1968,-0.8,0.75
1969,-3.97,1.2
1970,-0.13,0.87
1971,2.9,0.76
1972,-1.98,0.66
1973,4.2,1.02
1974,4.07,0.99
1975,0.2,1.27
1976,-0.07,0.91
1977,2.34,0.72
1978,-3.24,1.12
1979,1.82,0.96
1980,2.38,0.61
1981,4.51,0.61
1982,2.01,-0.17
1983,3.36,0.03
1984,3.37,-0.05
1985,2.92,0.19
1986,0.85,0.07
1987,0.75,0.5
1988,6.04,0.3
1989,-1.5,-0.14
1990,4.77,-0.1
1991,7.11,0.91
1992,0.89,1.04
1993,1.79,1.26
1994,1.01,1.45
1995,2.18,1.75
1996,9.8,1
1997,5.15,0.65
1998,-1.05,0.62
1999,7.12,1.07
2000,3.26,2.03
2001,1.03,1.97
2002,2.13,1.98
2003,5.57,2.01
2004,5.99,2.34
2005,15.63,2.4
2006,3.59,2.96
2007,8.54,4.22
2008,5.44,
2009,4.95,
2010,10.98,
2011,7.39,
2012,8.58,